date,category,amount_spent
2026-04-01,Entertainment,7418
2026-04-01,Health,5737
2026-04-02,Food,5017
2026-04-02,Transport,3479
2026-04-03,Dining,3503
2026-04-04,Bills,5906
2026-04-04,Bills,2951
2026-04-05,Food,2621
2026-04-05,Food,1796
2026-04-06,Food,5330
2026-04-06,Groceries,2994
2026-04-07,Food,5116
2026-04-07,Shopping,2293
2026-04-07,Education,5790
2026-04-08,Dining,5611
2026-04-09,Groceries,2486
2026-04-09,Groceries,4896
2026-04-09,Shopping,4932
2026-04-10,Entertainment,4603
2026-04-10,Food,951
2026-04-11,Transport,2352
2026-04-11,Transport,2812
2026-04-11,Bills,3241
2026-04-12,Entertainment,7580
2026-04-12,Shopping,6940
2026-04-12,Education,6542
2026-04-13,Dining,4261
2026-04-13,Groceries,1944
2026-04-13,Groceries,3647
2026-04-14,Entertainment,733
2026-04-15,Shopping,4687
2026-04-16,Food,1492
2026-04-16,Shopping,6740
2026-04-17,Shopping,5119
2026-04-17,Shopping,5301
2026-04-17,Food,2318
2026-04-18,Dining,559
2026-04-19,Groceries,3494
2026-04-19,Education,6800
2026-04-20,Food,3335
2026-04-21,Groceries,808
2026-04-22,Groceries,4688
2026-04-22,Dining,3792
2026-04-23,Transport,840
2026-04-24,Dining,1970
2026-04-25,Groceries,1141
2026-04-26,Food,3292
2026-04-26,Shopping,1884
2026-04-27,Education,4043
2026-04-27,Shopping,6881
2026-04-27,Entertainment,8596
2026-04-28,Groceries,5868
2026-04-29,Food,5002
2026-04-29,Shopping,8782
2026-04-29,Food,5090
2026-04-30,Transport,931
2026-04-30,Entertainment,4267
2026-04-30,Food,1142
