date,category,amount_spent
2026-05-01,Shopping,2218
2026-05-02,Entertainment,1331
2026-05-02,Shopping,4506
2026-05-03,Dining,7986
2026-05-03,Entertainment,8740
2026-05-04,Food,5108
2026-05-04,Food,4681
2026-05-04,Dining,1719
2026-05-05,Dining,3862
2026-05-05,Dining,8042
2026-05-06,Health,2757
2026-05-06,Transport,3153
2026-05-07,Shopping,3748
2026-05-08,Shopping,5935
2026-05-09,Shopping,5487
2026-05-09,Shopping,2686
2026-05-10,Transport,4779
2026-05-11,Education,3130
2026-05-11,Shopping,8521
2026-05-12,Shopping,5178
2026-05-12,Transport,4620
2026-05-13,Other,3764
2026-05-14,Education,9248
2026-05-14,Food,4559
2026-05-15,Entertainment,7863
2026-05-16,Groceries,2526
2026-05-16,Food,1539
2026-05-17,Entertainment,4789
2026-05-18,Food,5974
2026-05-18,Transport,1723
2026-05-19,Groceries,4878
2026-05-19,Bills,9464
2026-05-19,Groceries,2103
2026-05-20,Bills,8885
2026-05-21,Groceries,1952
2026-05-21,Groceries,3881
2026-05-22,Food,3514
2026-05-22,Food,3571
2026-05-23,Food,2403
2026-05-23,Shopping,5248
2026-05-24,Groceries,4018
2026-05-24,Groceries,5626
2026-05-25,Groceries,4306
2026-05-26,Health,6097
2026-05-26,Food,3139
2026-05-27,Bills,5584
2026-05-27,Education,8647
2026-05-27,Transport,2355
2026-05-28,Entertainment,7508
2026-05-28,Health,8054
2026-05-29,Transport,1460
2026-05-29,Food,4165
2026-05-29,Transport,1935
2026-05-30,Health,9455
2026-05-30,Food,5306
2026-05-30,Food,4668
2026-05-31,Groceries,3239
2026-05-31,Dining,4762
