date,category,amount_spent
2026-07-01,Food,2754
2026-07-01,Transport,967
2026-07-02,Transport,2925
2026-07-03,Bills,1999
2026-07-04,Food,296
2026-07-04,Education,1962
2026-07-05,Food,446
2026-07-05,Dining,1941
2026-07-06,Health,1727
2026-07-06,Other,778
2026-07-06,Groceries,959
2026-07-07,Bills,4630
2026-07-07,Food,2921
2026-07-07,Shopping,1631
2026-07-08,Transport,646
2026-07-08,Food,1346
2026-07-09,Groceries,706
2026-07-10,Education,2499
2026-07-10,Groceries,1464
2026-07-10,Entertainment,1871
2026-07-11,Food,2139
2026-07-12,Groceries,2028
2026-07-13,Groceries,2143
2026-07-14,Shopping,1115
2026-07-15,Entertainment,266
2026-07-15,Groceries,2100
2026-07-15,Food,453
2026-07-16,Dining,357
2026-07-16,Bills,3577
2026-07-17,Dining,278
2026-07-17,Dining,1396
2026-07-18,Groceries,2639
2026-07-18,Bills,1335
2026-07-19,Entertainment,539
2026-07-20,Shopping,2007
2026-07-20,Education,3966
2026-07-21,Bills,4842
2026-07-21,Food,2233
2026-07-22,Food,1442
2026-07-23,Entertainment,1067
2026-07-23,Groceries,1508
2026-07-23,Transport,2640
2026-07-24,Transport,1804
2026-07-25,Dining,365
2026-07-26,Food,2463
2026-07-26,Transport,858
2026-07-26,Other,530
2026-07-27,Dining,444
2026-07-28,Food,2241
2026-07-29,Education,2218
2026-07-29,Dining,1807
2026-07-29,Transport,2961
2026-07-30,Entertainment,596
2026-07-31,Groceries,2521
2026-07-31,Dining,1140
