date,category,amount_spent
2026-11-01,Entertainment,1791
2026-11-01,Food,2324
2026-11-01,Entertainment,1520
2026-11-02,Shopping,2303
2026-11-02,Transport,572
2026-11-03,Entertainment,797
2026-11-03,Groceries,2344
2026-11-03,Dining,321
2026-11-04,Groceries,591
2026-11-05,Shopping,855
2026-11-05,Education,3644
2026-11-06,Dining,750
2026-11-06,Groceries,1079
2026-11-06,Bills,2696
2026-11-07,Food,2807
2026-11-07,Entertainment,2108
2026-11-08,Transport,628
2026-11-08,Shopping,1556
2026-11-08,Food,1816
2026-11-09,Food,2845
2026-11-09,Food,1044
2026-11-09,Groceries,1953
2026-11-10,Transport,1753
2026-11-10,Other,1056
2026-11-10,Bills,1839
2026-11-11,Shopping,238
2026-11-11,Groceries,1538
2026-11-11,Transport,2044
2026-11-12,Transport,1524
2026-11-12,Food,1997
2026-11-12,Shopping,1153
2026-11-13,Dining,1468
2026-11-13,Transport,1174
2026-11-13,Transport,1295
2026-11-14,Entertainment,733
2026-11-14,Shopping,1114
2026-11-15,Groceries,2338
2026-11-15,Groceries,1167
2026-11-15,Groceries,975
2026-11-16,Education,1633
2026-11-16,Food,2894
2026-11-17,Dining,718
2026-11-18,Entertainment,1318
2026-11-19,Dining,547
2026-11-19,Shopping,537
2026-11-20,Dining,1690
2026-11-20,Transport,251
2026-11-21,Health,4376
2026-11-21,Shopping,2149
2026-11-22,Groceries,290
2026-11-22,Food,2672
2026-11-22,Shopping,122
2026-11-23,Dining,1861
2026-11-23,Shopping,1825
2026-11-23,Health,2672
2026-11-24,Dining,608
2026-11-24,Transport,1482
2026-11-24,Dining,500
2026-11-25,Dining,1738
2026-11-25,Shopping,740
2026-11-26,Health,4754
2026-11-26,Transport,2745
2026-11-27,Transport,2907
2026-11-27,Bills,2299
2026-11-28,Groceries,243
2026-11-28,Groceries,2206
2026-11-28,Bills,1671
2026-11-29,Dining,992
2026-11-30,Shopping,918
