date,category,amount_spent
2026-09-01,Shopping,11320
2026-09-01,Transport,3464
2026-09-02,Food,6009
2026-09-03,Dining,16510
2026-09-03,Shopping,17418
2026-09-04,Entertainment,17279
2026-09-04,Transport,2877
2026-09-05,Food,5527
2026-09-06,Food,5620
2026-09-06,Transport,7382
2026-09-07,Food,3067
2026-09-08,Bills,6340
2026-09-09,Transport,2444
2026-09-09,Entertainment,10190
2026-09-09,Shopping,16849
2026-09-10,Food,2543
2026-09-11,Shopping,17352
2026-09-11,Food,3078
2026-09-11,Other,9258
2026-09-12,Education,3905
2026-09-12,Shopping,15814
2026-09-13,Food,4874
2026-09-14,Entertainment,6601
2026-09-14,Groceries,7026
2026-09-14,Dining,17363
2026-09-15,Food,6114
2026-09-15,Education,9066
2026-09-16,Shopping,14090
2026-09-17,Dining,10099
2026-09-17,Food,3491
2026-09-17,Groceries,7214
2026-09-18,Shopping,10174
2026-09-18,Food,8429
2026-09-19,Food,6347
2026-09-19,Food,9031
2026-09-20,Education,8622
2026-09-20,Transport,6751
2026-09-21,Health,2913
2026-09-21,Dining,12776
2026-09-21,Shopping,10459
2026-09-22,Entertainment,8337
2026-09-22,Groceries,5022
2026-09-22,Transport,4951
2026-09-23,Entertainment,11246
2026-09-23,Dining,14082
2026-09-24,Education,6055
2026-09-24,Entertainment,8155
2026-09-24,Groceries,9913
2026-09-25,Bills,6322
2026-09-25,Shopping,16240
2026-09-25,Food,3223
2026-09-26,Shopping,11081
2026-09-26,Groceries,4982
2026-09-27,Food,3861
2026-09-28,Shopping,4365
2026-09-28,Food,6645
2026-09-28,Groceries,2871
2026-09-29,Groceries,3837
2026-09-29,Groceries,4467
2026-09-29,Shopping,7345
2026-09-30,Shopping,11780
2026-09-30,Food,2115
