date,category,amount_spent
2026-03-01,Transport,9648
2026-03-02,Groceries,9141
2026-03-03,Entertainment,7457
2026-03-04,Dining,8799
2026-03-05,Dining,13608
2026-03-05,Groceries,6459
2026-03-05,Groceries,3073
2026-03-06,Bills,6996
2026-03-07,Shopping,17353
2026-03-07,Bills,8091
2026-03-08,Food,3243
2026-03-08,Transport,2153
2026-03-08,Health,4200
2026-03-09,Food,8546
2026-03-09,Food,3159
2026-03-09,Transport,7940
2026-03-10,Transport,4670
2026-03-11,Transport,6550
2026-03-11,Transport,8361
2026-03-11,Food,6589
2026-03-12,Dining,8537
2026-03-13,Entertainment,12318
2026-03-14,Transport,8225
2026-03-14,Bills,2238
2026-03-15,Groceries,9973
2026-03-15,Transport,6195
2026-03-16,Shopping,11411
2026-03-17,Transport,5916
2026-03-17,Transport,4028
2026-03-17,Shopping,8253
2026-03-18,Bills,4519
2026-03-18,Entertainment,6246
2026-03-18,Groceries,5214
2026-03-19,Groceries,7498
2026-03-19,Dining,5198
2026-03-20,Shopping,16844
2026-03-21,Bills,3730
2026-03-22,Shopping,9999
2026-03-22,Food,9232
2026-03-22,Food,5831
2026-03-23,Entertainment,5542
2026-03-24,Health,3867
2026-03-24,Other,4865
2026-03-25,Shopping,12447
2026-03-26,Groceries,3603
2026-03-26,Groceries,2755
2026-03-27,Groceries,4768
2026-03-27,Transport,5608
2026-03-27,Shopping,10297
2026-03-28,Transport,4420
2026-03-28,Transport,2526
2026-03-29,Other,4944
2026-03-30,Food,4227
2026-03-31,Bills,4174
