date,category,amount_spent
2026-10-01,Shopping,7886
2026-10-02,Food,1985
2026-10-03,Entertainment,7085
2026-10-03,Entertainment,688
2026-10-03,Food,5406
2026-10-04,Shopping,7770
2026-10-04,Shopping,8980
2026-10-05,Transport,2152
2026-10-05,Bills,2220
2026-10-05,Food,1006
2026-10-06,Dining,3108
2026-10-06,Food,1659
2026-10-07,Shopping,3731
2026-10-08,Groceries,5045
2026-10-09,Shopping,7303
2026-10-09,Entertainment,3361
2026-10-09,Transport,1322
2026-10-10,Shopping,8330
2026-10-10,Shopping,604
2026-10-11,Health,9122
2026-10-11,Food,4506
2026-10-12,Dining,2224
2026-10-13,Dining,1135
2026-10-13,Food,2956
2026-10-14,Food,5336
2026-10-14,Shopping,4846
2026-10-14,Groceries,2577
2026-10-15,Health,1749
2026-10-16,Dining,4368
2026-10-17,Dining,3108
2026-10-17,Entertainment,5855
2026-10-17,Dining,6868
2026-10-18,Shopping,6716
2026-10-18,Bills,9192
2026-10-19,Entertainment,604
2026-10-19,Health,8663
2026-10-20,Dining,5542
2026-10-20,Entertainment,6915
2026-10-20,Shopping,1774
2026-10-21,Bills,3869
2026-10-21,Food,1716
2026-10-21,Food,2125
2026-10-22,Education,1970
2026-10-22,Food,1933
2026-10-23,Shopping,1198
2026-10-23,Shopping,1264
2026-10-23,Food,5637
2026-10-24,Dining,1580
2026-10-24,Health,7788
2026-10-25,Dining,3828
2026-10-26,Food,5995
2026-10-27,Entertainment,5208
2026-10-28,Food,1601
2026-10-28,Entertainment,3858
2026-10-29,Groceries,4271
2026-10-29,Dining,6249
2026-10-30,Bills,2293
2026-10-30,Shopping,6529
2026-10-31,Entertainment,8753
2026-10-31,Transport,3156
