date,category,amount_spent
2026-08-01,Dining,7699
2026-08-01,Dining,4519
2026-08-01,Dining,5109
2026-08-02,Dining,1561
2026-08-02,Groceries,2814
2026-08-02,Transport,2695
2026-08-03,Entertainment,8100
2026-08-03,Other,2176
2026-08-03,Food,2693
2026-08-04,Bills,2161
2026-08-04,Health,5315
2026-08-05,Food,5719
2026-08-06,Dining,1730
2026-08-06,Groceries,2256
2026-08-06,Transport,2929
2026-08-07,Bills,3233
2026-08-07,Shopping,6229
2026-08-07,Dining,6540
2026-08-08,Food,2470
2026-08-08,Other,1126
2026-08-09,Shopping,3833
2026-08-09,Entertainment,5861
2026-08-09,Groceries,3845
2026-08-10,Shopping,1776
2026-08-11,Food,4860
2026-08-12,Transport,4143
2026-08-12,Food,4038
2026-08-12,Shopping,3032
2026-08-13,Transport,2140
2026-08-13,Groceries,3021
2026-08-13,Groceries,3120
2026-08-14,Groceries,1220
2026-08-14,Groceries,5440
2026-08-14,Health,8284
2026-08-15,Food,3780
2026-08-15,Shopping,6901
2026-08-16,Groceries,848
2026-08-16,Groceries,2082
2026-08-16,Groceries,1541
2026-08-17,Transport,3787
2026-08-17,Transport,2131
2026-08-18,Food,5318
2026-08-19,Shopping,6999
2026-08-20,Transport,3837
2026-08-21,Transport,1995
2026-08-21,Groceries,2125
2026-08-21,Transport,1349
2026-08-22,Groceries,2416
2026-08-23,Food,1156
2026-08-23,Education,9409
2026-08-24,Food,3977
2026-08-24,Food,5881
2026-08-25,Entertainment,3125
2026-08-25,Shopping,4138
2026-08-25,Shopping,3713
2026-08-26,Dining,4073
2026-08-26,Food,5042
2026-08-27,Groceries,1808
2026-08-28,Dining,3655
2026-08-29,Health,2124
2026-08-30,Entertainment,2428
2026-08-30,Groceries,4533
2026-08-30,Transport,5936
2026-08-31,Shopping,5549
2026-08-31,Shopping,7475
